cluster8,AHM,bFFP,CMD,DD18,DD5,DD_0,DD_18,eFFP,EMT,Eref,EXT,FFP,MAP,MAR,MAT,MCMT,MSP,MWMT,NFFD,PAS,RH,SHM,TD,Tmin_sp,Tmin_su,Tmin_fa,Tmin_wi,Tmax_sp,Tmax_su,Tmax_fa,Tmax_wi,Tave_sp,Tave_su,Tave_fa,Tave_wi,PPT_sp,PPT_su,PPT_fa,PPT_wi
0,12.24030244611607,150.70683743126224,54.57355729726313,63.30359174514885,1404.3668778838253,1339.1024113520004,5573.9195294229185,260.30791353264647,-39.607614088868914,582.8965062259023,34.03531619366933,109.60595885215852,1051.1139071487264,13.32716955087436,2.7898457746035636,-12.707478983629207,487.1354686808672,17.21883809493712,135.47576796662665,394.7145961064408,61.156390240819164,35.51662663548418,29.92647272612032,-4.111779965446631,9.760648821186454,0.19774903609126335,-16.532044171249293,7.102789541326445,21.811922181488374,9.887167109116948,-5.7987592967154225,1.495390620061935,15.786262720436218,5.042289520258093,-11.165441238438675,233.79404746855445,303.8010634599583,282.2287624043992,231.28523007395233
1,15.815757908209829,136.86616200402267,129.55623331504844,204.92430791735234,2075.9190199305176,705.5769244834522,4217.340486377766,273.35692814042784,-34.03103748400089,754.3305540318157,36.40021941854069,136.4913293106601,1078.5812397147558,13.70804697365303,6.9094123240078416,-7.185494971658535,482.1717242640336,20.00819967087143,168.80947888096543,213.7441067836899,60.56502468458585,41.74432839641602,27.19368147741997,-0.18622636679466226,12.358185164868955,3.3553951362223238,-11.252987383434705,11.930159566038565,25.168345949900132,14.618820503443388,-0.7177699762296604,5.871994880233558,18.763256171146086,8.987050892911219,-5.985351618211893,263.21816785518376,293.331307368806,288.75199122325836,233.27731577985006
2,11.604058886928875,141.79837840485987,32.57772388790907,68.09957378012933,1575.0470556535372,593.3571918479325,4485.804355281207,276.79970115618266,-30.367597491671674,565.8663531256124,31.833049186752895,134.99853027630806,1365.7758181461886,13.602758221038771,5.80235645698586,-4.89074563981983,483.9104693317656,16.82421124828587,171.4288653733098,318.47873799725653,70.42489711934157,34.79899568881048,21.71475602586722,-0.8951572604349933,10.666940198576313,4.520737801293351,-8.018638545953289,7.395750048990474,20.278048043634044,12.590788915017031,-0.12056878306879083,3.2507160820433234,15.472911359331857,8.555994839637005,-4.069670618590345,316.45759847148736,287.5429894179894,363.41784244562024,398.41517244757983
3,13.759431847449257,144.0295141704267,101.88180023084774,127.30926920471998,1750.8058494147724,1002.6178420505385,4863.163396323606,266.52939493088877,-37.373301790498154,680.1068672434681,35.78383874998903,122.49770583129036,1086.7983516326278,13.208647528131028,4.9221012868333744,-10.074521849453362,477.7371674409287,18.90359244879809,152.1208898131278,328.25932214707484,59.506062138108,39.76975608360135,28.978165809732197,-2.1863211581815647,11.084544966024326,1.6803248402984734,-14.34111760834143,9.755612048598756,23.95196777034688,12.490552730902744,-3.058303682434989,3.7842816851250416,17.518414718293577,7.085170735119782,-8.699654682298267,251.24295294330875,294.5160687201305,290.0380421821789,250.99676622373153
4,16.665579906848926,125.55167585793068,133.39517672943396,365.2031316970026,2573.9211932451353,365.7894676686573,3397.1649284224363,284.89876275109293,-29.150844358088342,829.288910478041,37.24092636511505,159.34842986541705,1178.3355716204246,14.04197530125972,9.604697545504017,-3.1595451038659883,485.7211475269309,21.956947738377448,198.00588621881874,104.62685373031974,64.27605223304855,45.402408777895225,25.11627568077226,2.615954700879067,14.963988341857748,6.043172271909038,-6.906282443257162,13.908318808278507,26.494082349915534,17.03722890533476,2.682214666018955,8.261868160127833,20.72896629234831,11.54024630682613,-2.111801011515163,305.75532188473295,288.1666714289796,302.45529616824297,281.97616938594734
5,20.41081692237229,131.5359228303183,189.5888195557591,282.80401305243873,2299.694841996794,599.485688115411,3920.1783547057476,278.6812457064346,-32.0571616670486,784.4669395465995,37.18195557591072,147.1583180673231,881.6665617128464,13.635728186368587,7.931944126402732,-6.11081119761858,424.6176150675521,21.09906114037072,181.42019693153193,125.48076482711244,62.780684680558736,49.830561598351245,27.210061254867217,1.0014445462178683,13.585642317380499,4.606833447828385,-9.683722616594222,12.609843714220455,26.072545988855197,15.399004846958476,-0.13528452026563262,6.805930844973674,19.82887184184407,10.002816578887241,-4.909176780398448,210.37766201053356,260.28354705747654,241.55292534920997,169.43133157774216
6,10.664539045849576,149.1232854254331,35.13973441171649,71.21279851357998,1529.367342477731,1088.059675392098,5148.063828624515,262.03295262036175,-38.1103994753815,667.5033061915951,34.01362916006325,112.91201705011203,1325.1919230559047,13.77050112027978,3.982955352751504,-10.315716705831056,594.8462211049784,17.245625444013292,141.26405814525384,434.25935843488713,58.31110989671567,29.305732553691513,27.560598939832662,-3.271752554784401,9.555875548754948,0.5563036231488077,-14.876612565349697,9.096251161265602,22.48175127966918,11.793090697123636,-3.470772537661383,2.912173707124271,16.01884255970291,6.175100643022368,-9.17381095506122,316.15268593912236,366.31378763866877,353.20574894802996,289.52844417727744
7,13.175830873510382,142.24152727670275,81.16426150650487,105.82171750300645,1713.7979118836777,741.39556685252,4564.639991253963,273.2783426259976,-33.271938887067414,621.3295069421669,34.089160380452775,131.02957253744398,1195.2247184869357,13.454788439729173,5.688302175576626,-6.962892205094617,450.8862195255275,18.283551984257365,166.23220728107577,335.8948289056521,65.93645457527057,40.657674647425424,25.24636766152822,-1.1737937757369958,11.299275718814977,3.5429093327501775,-10.524793192668236,8.52001111475535,22.4573894901784,12.729735614591219,-1.3388916220254974,3.673017564957698,16.8788300353484,8.136304252760374,-5.931799132684704,276.6788017929376,269.43224554498744,317.5050016398819,331.62509565977916
