cluster,,AHM,bFFP,CMD,DD18,DD5,DD_0,DD_18,eFFP,EMT,Eref,EXT,FFP,MAP,MAR,MAT,MCMT,MSP,MWMT,NFFD,PAS,RH,SHM,TD,Tmin_sp,Tmin_su,Tmin_fa,Tmin_wi,Tmax_sp,Tmax_su,Tmax_fa,Tmax_wi,Tave_sp,Tave_su,Tave_fa,Tave_wi,PPT_sp,PPT_su,PPT_fa,PPT_wi
2,0.5,15.8,136.0,131.0,203.0,2082.0,662.0,4151.0,274.0,-33.4,754.0,36.4,138.0,1083.0,13.4,7.1,-6.7,480.0,20.0,170.0,203.0,61.0,41.9,26.7,-0.06666666666666672,12.466666666666667,3.5,-10.666666666666666,12.066666666666668,25.2,14.833333333333334,-0.43333333333333335,6.033333333333332,18.766666666666666,9.166666666666666,-5.533333333333334,264.0,293.0,289.0,237.0
2,0.75,16.7,138.0,147.0,227.0,2154.0,710.0,4239.0,277.0,-32.8,779.0,36.8,142.0,1146.0,13.8,7.4,-6.2,498.0,20.4,177.0,235.0,63.0,43.8,27.4,0.33333333333333365,12.833333333333334,4.1000000000000005,-10.1,12.533333333333333,25.7,15.233333333333334,0.03333333333333332,6.300000000000001,19.1,9.433333333333334,-5.133333333333334,286.0,304.0,308.0,267.0
2,1.0,19.2,141.0,224.0,350.0,2455.0,866.0,4582.0,289.0,-29.2,877.0,38.7,162.0,1327.0,15.9,8.6,-4.7,585.0,22.0,200.0,326.0,71.0,50.8,28.9,2.4,15.166666666666666,7.0,-7.233333333333333,14.033333333333333,27.400000000000002,16.46666666666667,1.9333333333333333,7.3,20.7,11.066666666666668,-3.6,347.0,350.0,384.0,353.0
3,0.0,15.0,108.0,55.0,230.0,2346.0,196.0,2754.0,280.0,-30.4,656.0,33.3,151.0,1026.0,12.1,8.8,-4.2,394.0,19.9,187.0,31.0,61.0,38.2,20.3,1.6666666666666667,14.133333333333333,4.966666666666667,-7.866666666666667,10.466666666666667,22.5,15.166666666666666,0.9666666666666667,6.866666666666667,18.7,10.700000000000001,-3.1,239.0,229.0,253.0,193.0
3,0.25,16.3,120.0,105.0,331.0,2512.0,257.0,3127.0,286.0,-28.8,780.0,36.3,161.0,1166.0,13.8,9.6,-2.8,448.0,21.6,199.0,58.0,65.0,45.5,23.9,2.733333333333333,15.066666666666668,6.300000000000001,-6.533333333333334,13.033333333333333,25.600000000000005,16.766666666666666,2.9,7.8999999999999995,20.333333333333332,11.633333333333333,-1.8333333333333333,301.0,265.0,296.0,277.0
3,0.5,16.8,123.0,121.0,358.0,2571.0,304.0,3283.0,289.0,-27.8,812.0,36.9,166.0,1190.0,14.1,9.8,-2.2,467.0,22.0,207.0,79.0,67.0,47.1,24.4,3.1999999999999997,15.433333333333332,7.0,-5.8,13.633333333333335,26.266666666666666,17.033333333333335,3.266666666666667,8.133333333333333,20.666666666666668,12.066666666666668,-1.2666666666666666,308.0,278.0,304.0,298.0
3,0.75,17.6,125.0,140.0,441.0,2789.0,340.0,3371.0,293.0,-26.3,836.0,37.6,173.0,1205.0,14.3,10.6,-1.4,499.0,22.7,217.0,99.0,70.0,48.5,24.9,3.733333333333334,16.2,7.8999999999999995,-4.633333333333333,14.333333333333334,26.933333333333334,17.666666666666668,3.6666666666666665,9.066666666666666,21.53333333333333,12.633333333333333,-0.4666666666666666,318.0,293.0,312.0,309.0
3,1.0,19.6,130.0,178.0,612.0,3169.0,437.0,3639.0,302.0,-24.1,915.0,39.4,194.0,1317.0,14.9,12.1,-0.2,583.0,24.2,245.0,147.0,76.0,54.4,26.7,5.833333333333333,18.46666666666667,9.833333333333334,-3.0,16.066666666666666,28.599999999999998,18.73333333333333,4.4,10.533333333333333,23.099999999999998,14.133333333333333,0.6333333333333334,354.0,340.0,337.0,341.0
4,0.0,13.7,123.0,37.0,195.0,2074.0,326.0,3284.0,268.0,-35.4,693.0,34.9,127.0,1016.0,12.8,6.9,-7.3,430.0,19.8,156.0,84.0,54.0,35.1,24.6,-1.1333333333333335,11.666666666666666,2.2,-12.366666666666667,11.366666666666667,23.733333333333334,14.033333333333331,-0.7666666666666666,5.833333333333333,18.6,8.866666666666667,-5.966666666666666,233.0,252.0,247.0,194.0
4,0.25,15.4,129.0,129.0,274.0,2300.0,434.0,3556.0,275.0,-32.3,828.0,37.0,142.0,1115.0,13.8,8.2,-5.3,467.0,21.0,175.0,130.0,59.0,41.9,25.9,0.8666666666666668,13.266666666666666,3.9000000000000004,-9.6,13.366666666666665,26.13333333333333,16.133333333333336,1.2333333333333334,7.133333333333333,19.733333333333334,10.066666666666668,-4.166666666666667,284.0,281.0,288.0,249.0
