cluster,,AHM,bFFP,CMD,DD18,DD5,DD_0,DD_18,eFFP,EMT,Eref,EXT,FFP,MAP,MAR,MAT,MCMT,MSP,MWMT,NFFD,PAS,RH,SHM,TD,Tmin_sp,Tmin_su,Tmin_fa,Tmin_wi,Tmax_sp,Tmax_su,Tmax_fa,Tmax_wi,Tave_sp,Tave_su,Tave_fa,Tave_wi,PPT_sp,PPT_su,PPT_fa,PPT_wi
0,0.0,8.8,140.0,0.0,27.0,1138.0,1009.0,4924.0,252.0,-43.1,526.0,32.0,92.0,866.0,11.8,0.8,-15.3,419.0,15.2,118.0,256.0,52.0,25.6,25.9,-7.533333333333332,6.733333333333333,-1.7999999999999998,-20.266666666666666,5.633333333333333,20.233333333333334,8.566666666666666,-7.8,-0.9666666666666665,14.033333333333333,3.766666666666666,-14.066666666666668,190.0,256.0,233.0,168.0
0,0.25,11.9,148.0,45.0,63.0,1426.0,1254.0,5341.0,259.0,-40.3,600.0,34.4,109.0,987.0,13.2,2.8,-13.1,466.0,17.3,134.0,331.0,57.0,34.3,30.0,-4.366666666666667,9.633333333333335,-0.03333333333333351,-17.266666666666666,7.466666666666668,22.166666666666668,10.033333333333333,-5.933333333333334,1.6000000000000003,15.933333333333332,5.066666666666666,-11.533333333333331,216.0,290.0,269.0,204.0
0,0.5,12.6,149.0,66.0,76.0,1505.0,1317.0,5450.0,261.0,-39.9,621.0,34.8,111.0,1032.0,13.3,3.2,-12.7,481.0,17.7,137.0,364.0,59.0,36.4,30.3,-4.1000000000000005,9.966666666666667,0.19999999999999987,-16.866666666666664,8.066666666666668,22.666666666666668,10.6,-5.3999999999999995,2.0,16.366666666666667,5.433333333333333,-11.166666666666666,228.0,300.0,279.0,220.0
0,0.75,13.5,151.0,89.0,86.0,1551.0,1365.0,5566.0,262.0,-39.3,636.0,35.3,114.0,1099.0,13.5,3.5,-12.2,515.0,18.0,141.0,399.0,61.0,38.5,30.8,-3.6,10.299999999999999,0.5333333333333332,-16.233333333333334,8.533333333333333,23.133333333333336,11.033333333333333,-4.933333333333334,2.3333333333333335,16.666666666666668,5.766666666666667,-10.666666666666666,244.0,322.0,292.0,241.0
0,1.0,16.1,161.0,148.0,139.0,1756.0,1742.0,6270.0,270.0,-36.8,716.0,36.3,130.0,1389.0,15.2,4.7,-9.8,656.0,19.3,160.0,587.0,67.0,44.0,32.4,-1.866666666666667,12.0,2.233333333333333,-13.866666666666665,10.299999999999999,24.233333333333334,12.633333333333335,-2.6666666666666665,3.733333333333334,17.8,6.833333333333333,-8.566666666666668,344.0,427.0,378.0,318.0
1,0.0,11.2,131.0,0.0,74.0,1613.0,582.0,3983.0,261.0,-37.7,586.0,32.9,114.0,923.0,11.1,4.7,-10.1,424.0,17.4,143.0,153.0,53.0,28.9,24.9,-2.6,9.6,0.6333333333333332,-14.933333333333332,9.433333333333332,21.733333333333334,11.700000000000001,-3.466666666666667,3.6999999999999997,16.2,6.7,-8.766666666666666,207.0,237.0,237.0,150.0
1,0.25,13.9,140.0,96.0,145.0,1871.0,726.0,4329.0,268.0,-36.5,721.0,35.6,125.0,1058.0,13.2,5.8,-8.8,461.0,19.1,155.0,235.0,57.0,37.0,26.5,-1.6000000000000003,11.166666666666666,1.9666666666666668,-13.533333333333333,10.966666666666667,24.366666666666664,13.699999999999998,-1.7999999999999998,4.733333333333333,17.866666666666664,7.900000000000001,-7.6000000000000005,257.0,280.0,282.0,217.0
1,0.5,14.5,141.0,121.0,160.0,1928.0,794.0,4454.0,269.0,-35.7,738.0,36.1,128.0,1114.0,13.7,6.1,-8.2,487.0,19.4,158.0,270.0,58.0,39.7,27.7,-1.2,11.466666666666667,2.3666666666666663,-12.733333333333334,11.366666666666667,24.799999999999997,14.066666666666665,-1.2,5.133333333333333,18.133333333333333,8.233333333333333,-6.866666666666667,273.0,300.0,295.0,247.0
1,0.75,15.1,142.0,146.0,176.0,1983.0,865.0,4575.0,271.0,-34.3,756.0,36.6,131.0,1169.0,14.3,6.5,-7.3,518.0,19.7,162.0,293.0,60.0,42.4,28.3,-0.7000000000000002,11.766666666666666,2.7999999999999994,-11.366666666666667,11.9,25.133333333333336,14.466666666666667,-0.6999999999999998,5.5,18.4,8.566666666666666,-6.133333333333333,291.0,318.0,310.0,275.0
1,1.0,18.0,147.0,205.0,227.0,2167.0,1011.0,4909.0,282.0,-31.1,844.0,37.8,151.0,1478.0,16.3,7.6,-5.8,625.0,20.4,185.0,393.0,73.0,46.8,29.6,0.9333333333333332,13.800000000000002,5.133333333333333,-8.666666666666666,13.133333333333333,26.400000000000002,15.733333333333334,0.9333333333333332,6.466666666666668,19.13333333333333,9.733333333333333,-4.633333333333333,367.0,381.0,430.0,399.0
2,0.0,14.7,129.0,78.0,127.0,1802.0,475.0,3661.0,266.0,-37.8,650.0,34.5,123.0,760.0,11.9,5.2,-11.5,381.0,18.8,153.0,74.0,55.0,38.0,24.8,-1.9333333333333333,10.933333333333332,1.6333333333333335,-14.933333333333332,10.200000000000001,23.066666666666666,12.1,-4.566666666666666,4.333333333333333,17.566666666666666,7.333333333333333,-9.733333333333333,173.0,219.0,204.0,128.0
2,0.25,17.5,133.0,146.0,212.0,2081.0,604.0,3985.0,273.0,-35.8,714.0,36.6,137.0,872.0,13.3,6.4,-8.9,427.5,20.2,168.0,142.0,60.0,44.4,26.3,-0.2333333333333337,12.533333333333333,3.1999999999999997,-12.933333333333332,11.5,25.233333333333334,13.800000000000002,-2.1,5.666666666666667,18.933333333333334,8.533333333333333,-7.5,204.0,264.0,236.0,160.0
2,0.5,18.5,135.0,165.0,236.0,2144.0,735.0,4191.0,275.0,-34.4,744.0,37.0,140.0,928.0,13.6,7.1,-7.9,444.0,20.6,172.0,165.0,61.0,46.2,28.5,0.16666666666666666,13.0,3.5666666666666664,-11.800000000000002,11.966666666666667,25.53333333333333,14.633333333333333,-1.1666666666666667,6.066666666666667,19.266666666666666,9.2,-6.466666666666666,216.0,274.0,250.0,178.0
2,0.75,19.6,136.0,184.0,258.0,2222.0,844.0,4405.0,276.0,-32.4,798.0,37.3,143.0,972.0,14.1,7.6,-6.0,460.0,20.9,177.0,196.0,62.0,48.4,29.6,0.6,13.266666666666666,4.033333333333333,-9.799999999999999,12.666666666666666,25.96666666666667,15.4,-0.09999999999999996,6.566666666666667,19.533333333333335,9.633333333333333,-4.933333333333333,233.0,284.0,263.0,198.0
2,1.0,23.4,143.0,270.0,349.0,2455.0,1085.0,4812.0,283.0,-29.8,893.0,39.0,155.0,1085.0,15.4,8.8,-4.5,517.0,22.0,190.0,297.0,68.0,54.3,31.7,1.7,14.566666666666668,5.733333333333333,-7.8999999999999995,14.666666666666666,27.7,16.96666666666667,1.8999999999999997,7.833333333333333,20.7,10.799999999999999,-3.533333333333333,284.0,329.0,312.0,251.0
3,0.0,5.3,146.0,0.0,5.0,618.0,1019.0,5171.0,243.0,-43.7,348.0,28.2,72.0,891.0,11.3,-2.6,-17.5,386.0,12.4,94.0,313.0,55.0,20.1,26.6,-8.533333333333333,6.133333333333333,-3.9666666666666663,-20.400000000000002,-0.36666666666666653,15.166666666666666,2.8333333333333335,-11.633333333333335,-4.5,10.700000000000001,-0.6,-16.066666666666666,189.0,233.0,222.0,192.0
3,0.25,10.6,152.0,8.0,29.0,1137.0,1307.0,5708.0,257.0,-40.3,450.0,31.4,101.0,1027.0,13.1,1.6,-13.7,457.0,15.7,126.0,424.0,63.0,32.6,28.1,-4.933333333333333,8.666666666666666,-0.5666666666666668,-17.099999999999998,4.2,19.0,7.866666666666667,-7.2,-0.06666666666666672,14.199999999999998,3.7999999999999994,-12.133333333333335,222.0,284.0,271.0,237.0
3,0.5,11.2,154.0,21.0,35.0,1206.0,1432.0,5865.0,259.0,-39.3,505.0,32.3,104.0,1064.0,13.3,1.9,-13.1,479.0,16.1,129.0,448.0,67.0,34.0,28.9,-4.466666666666667,9.200000000000001,-0.06666666666666672,-16.066666666666666,5.133333333333333,19.966666666666665,8.466666666666667,-6.833333333333333,0.4666666666666665,14.6,4.133333333333334,-11.6,239.0,297.0,281.0,247.0
3,0.75,11.8,156.0,41.0,41.0,1263.0,1500.0,5981.0,262.0,-37.7,540.0,32.9,110.0,1127.0,13.5,2.3,-11.9,495.0,16.5,133.0,493.0,69.0,35.4,29.7,-3.8000000000000003,9.833333333333334,0.7666666666666666,-14.6,5.833333333333333,20.666666666666668,8.833333333333334,-6.2,0.7333333333333334,14.966666666666667,4.666666666666667,-10.433333333333334,259.0,308.0,297.0,267.0
3,1.0,14.7,171.0,101.0,76.0,1490.0,2263.0,7486.0,269.0,-35.4,615.0,34.1,123.0,1385.0,14.8,3.9,-9.8,615.0,17.8,151.0,832.0,71.0,42.5,31.2,-2.3666666666666667,11.233333333333334,2.433333333333333,-12.433333333333332,7.066666666666667,21.666666666666668,10.666666666666666,-4.066666666666667,1.9666666666666666,16.266666666666666,6.5,-8.299999999999999,317.0,376.0,378.0,313.0
4,0.0,12.0,136.0,28.0,66.0,1445.0,697.0,4382.0,261.0,-39.5,522.0,33.0,109.0,880.0,11.9,3.7,-12.0,419.0,17.4,134.0,195.0,53.0,34.0,25.3,-3.866666666666667,8.933333333333334,0.4000000000000001,-16.400000000000002,5.8999999999999995,20.566666666666666,10.066666666666666,-5.1000000000000005,1.7333333333333332,15.833333333333334,6.0,-10.366666666666667,190.0,245.0,231.0,163.0
4,0.25,13.2,144.0,100.0,111.0,1677.0,940.0,4772.0,265.0,-37.9,644.0,35.3,119.0,1065.0,12.9,4.5,-10.5,442.0,18.6,148.0,315.0,58.0,40.0,28.3,-2.5999999999999996,10.866666666666665,1.3,-14.866666666666665,8.633333333333333,23.400000000000002,11.866666666666667,-3.6333333333333333,3.1,17.2,6.733333333333333,-9.1,245.0,271.0,281.0,241.0
4,0.5,13.6,145.0,110.0,122.0,1726.0,997.0,4872.0,266.0,-37.4,661.0,35.7,121.0,1096.0,13.1,4.9,-10.0,455.0,18.8,151.0,345.0,60.0,41.2,28.9,-2.3,11.066666666666668,1.6000000000000003,-14.333333333333334,9.4,23.76666666666667,12.433333333333332,-2.9,3.6,17.433333333333334,7.033333333333334,-8.633333333333333,255.0,277.0,289.0,269.0
4,0.75,14.0,146.0,118.0,131.0,1772.0,1053.0,5001.0,268.0,-36.4,700.0,36.2,124.0,1126.0,13.2,5.2,-9.5,473.0,19.1,154.0,388.0,62.0,42.5,29.3,-2.0,11.266666666666666,2.166666666666667,-13.366666666666665,10.200000000000001,24.3,12.866666666666667,-2.4,4.033333333333333,17.633333333333333,7.333333333333333,-8.1,264.0,287.0,299.0,294.0
4,1.0,17.8,152.0,183.0,175.0,1942.0,1190.0,5267.0,275.0,-33.5,765.0,37.1,139.0,1257.0,14.1,6.2,-6.9,549.0,19.7,174.0,431.0,69.0,45.7,30.8,-0.4000000000000001,13.033333333333333,3.733333333333333,-10.766666666666666,11.733333333333334,25.3,14.399999999999999,-0.6333333333333334,5.1000000000000005,18.4,8.533333333333333,-5.8,315.0,344.0,344.0,338.0
5,0.0,9.1,137.0,0.0,37.0,1288.0,644.0,4083.0,256.0,-40.1,572.0,31.7,98.0,945.0,10.8,2.9,-12.6,449.0,15.9,124.0,206.0,52.0,25.4,24.6,-5.066666666666667,7.533333333333332,-0.8333333333333331,-17.166666666666668,6.900000000000001,20.2,10.200000000000001,-5.3,1.5666666666666664,14.733333333333334,5.033333333333334,-11.266666666666666,211.0,273.0,250.0,169.0
5,0.25,11.4,144.0,47.0,79.0,1599.0,940.0,4795.0,263.0,-38.1,687.0,34.4,114.0,1094.0,13.4,4.4,-10.0,513.0,17.6,142.0,307.0,56.0,31.3,27.3,-3.1999999999999997,9.633333333333333,0.7000000000000002,-14.9,9.666666666666666,23.03333333333333,12.333333333333334,-3.033333333333333,3.3000000000000003,16.366666666666667,6.566666666666666,-8.933333333333334,256.0,317.0,296.0,223.0
5,0.5,12.3,146.0,70.0,92.0,1667.0,1005.0,4907.0,264.0,-37.7,707.0,34.9,118.0,1204.0,13.7,4.7,-9.8,535.0,18.0,148.0,345.0,58.0,33.5,27.7,-2.6333333333333333,10.133333333333333,1.1000000000000003,-14.466666666666667,10.133333333333333,23.53333333333333,12.766666666666667,-2.733333333333333,3.6999999999999997,16.766666666666666,6.900000000000001,-8.666666666666666,288.0,328.0,317.0,263.0
5,0.75,13.3,149.0,90.0,109.0,1736.0,1045.0,5022.0,266.0,-36.9,719.0,35.3,121.0,1293.0,14.1,5.1,-9.2,572.0,18.4,151.0,388.0,59.0,35.4,28.0,-2.1666666666666665,10.533333333333333,1.5,-13.733333333333334,10.466666666666667,23.899999999999995,13.066666666666668,-2.4,4.066666666666666,17.166666666666664,7.266666666666666,-8.066666666666668,313.0,346.0,346.0,288.0
5,1.0,15.6,158.0,151.0,223.0,2144.0,1319.0,5528.0,274.0,-33.9,841.0,37.2,136.0,1597.0,17.8,7.3,-6.7,711.0,20.3,171.0,560.0,67.0,41.0,30.6,0.0,12.4,3.5,-10.933333333333332,13.0,25.96666666666667,15.633333333333335,0.26666666666666666,6.5,19.099999999999998,9.166666666666668,-5.433333333333334,413.0,457.0,457.0,395.0
6,0.0,9.1,137.0,3.0,29.0,1150.0,453.0,4173.0,267.0,-34.8,419.0,29.9,111.0,1203.0,11.9,3.3,-8.5,439.0,15.3,134.0,208.0,65.0,29.3,19.1,-3.6999999999999997,9.266666666666666,2.533333333333333,-11.700000000000001,3.1333333333333333,17.633333333333333,9.299999999999999,-3.1,-0.20000000000000018,13.633333333333335,5.933333333333334,-7.333333333333333,273.0,254.0,319.0,330.0
6,0.25,11.0,140.0,23.0,67.0,1558.0,580.0,4391.0,274.0,-31.8,560.0,32.2,129.0,1340.0,13.4,5.5,-6.0,475.0,17.0,161.0,313.0,68.0,33.9,22.2,-1.7666666666666664,10.533333333333333,3.8333333333333326,-9.299999999999999,6.733333333333334,20.433333333333334,12.399999999999999,-0.8333333333333334,2.533333333333333,15.566666666666668,8.166666666666666,-5.1,307.0,282.0,355.0,388.0
6,0.5,11.5,143.0,36.0,77.0,1614.0,628.0,4491.0,276.0,-31.0,580.5,32.7,133.0,1374.0,13.5,5.8,-5.4,493.0,17.4,168.0,344.0,69.0,35.3,22.8,-1.3,10.866666666666667,4.266666666666667,-8.633333333333335,7.7,21.033333333333335,12.766666666666666,-0.3333333333333333,3.1,15.933333333333332,8.5,-4.5,320.0,296.0,364.0,401.0
6,0.75,12.0,146.0,49.0,90.0,1684.0,682.0,4605.0,277.0,-30.1,601.0,33.1,137.0,1427.0,13.7,6.1,-4.8,509.0,17.7,175.0,380.0,71.0,36.6,23.4,-0.5333333333333335,11.233333333333333,4.633333333333334,-7.933333333333333,8.4,21.53333333333333,13.1,0.06666666666666672,3.9666666666666663,16.366666666666667,8.799999999999999,-3.966666666666667,333.0,305.0,384.0,411.0
6,1.0,13.3,155.0,88.0,121.0,1831.0,925.0,5357.0,281.0,-28.8,649.0,34.2,144.0,1527.0,14.6,6.7,-3.5,542.0,18.5,186.0,578.0,75.0,40.4,25.6,0.4666666666666668,12.166666666666666,5.433333333333334,-6.6000000000000005,10.0,22.766666666666666,13.800000000000002,1.3333333333333333,5.033333333333334,17.166666666666668,9.5,-2.733333333333333,366.0,324.0,409.0,443.0
7,0.0,15.0,108.0,55.0,230.0,2346.0,196.0,2754.0,280.0,-30.4,656.0,33.3,151.0,1026.0,12.1,8.8,-4.2,394.0,19.9,187.0,31.0,61.0,38.2,20.3,1.6666666666666667,14.133333333333333,4.966666666666667,-7.866666666666667,10.466666666666667,22.5,15.166666666666666,0.9666666666666667,6.866666666666667,18.7,10.700000000000001,-3.1,239.0,229.0,253.0,193.0
7,0.25,16.3,120.0,105.0,331.0,2512.0,257.0,3127.0,286.0,-28.8,780.0,36.3,161.0,1166.0,13.8,9.6,-2.8,448.0,21.6,199.0,58.0,65.0,45.5,23.9,2.733333333333333,15.066666666666668,6.300000000000001,-6.533333333333334,13.033333333333333,25.600000000000005,16.766666666666666,2.9,7.8999999999999995,20.333333333333332,11.633333333333333,-1.8333333333333333,301.0,265.0,296.0,277.0
7,0.5,16.8,123.0,121.0,358.0,2571.0,304.0,3283.0,289.0,-27.8,812.0,36.9,166.0,1190.0,14.1,9.8,-2.2,467.0,22.0,207.0,79.0,67.0,47.1,24.4,3.1999999999999997,15.433333333333332,7.0,-5.8,13.633333333333335,26.266666666666666,17.033333333333335,3.266666666666667,8.133333333333333,20.666666666666668,12.066666666666668,-1.2666666666666666,308.0,278.0,304.0,298.0
7,0.75,17.6,125.0,140.0,441.0,2789.0,340.0,3371.0,293.0,-26.3,836.0,37.6,173.0,1205.0,14.3,10.6,-1.4,499.0,22.7,217.0,99.0,70.0,48.5,24.9,3.733333333333334,16.2,7.8999999999999995,-4.633333333333333,14.333333333333334,26.933333333333334,17.666666666666668,3.6666666666666665,9.066666666666666,21.53333333333333,12.633333333333333,-0.4666666666666666,318.0,293.0,312.0,309.0
7,1.0,19.6,130.0,178.0,612.0,3169.0,437.0,3639.0,302.0,-24.1,915.0,39.4,194.0,1317.0,14.9,12.1,-0.2,583.0,24.2,245.0,147.0,76.0,54.4,26.7,5.833333333333333,18.46666666666667,9.833333333333334,-3.0,16.066666666666666,28.599999999999998,18.73333333333333,4.4,10.533333333333333,23.099999999999998,14.133333333333333,0.6333333333333334,354.0,340.0,337.0,341.0
8,0.0,10.8,134.0,35.0,63.0,1464.0,486.0,4046.0,264.0,-36.5,556.0,32.3,115.0,1073.0,12.6,4.1,-9.2,403.0,16.9,141.0,182.0,61.0,31.7,22.0,-2.866666666666667,10.0,1.5,-13.299999999999999,6.666666666666667,20.833333333333332,10.933333333333335,-3.1666666666666665,2.233333333333333,15.6,6.233333333333333,-8.066666666666666,240.0,229.0,277.0,262.0
8,0.25,12.5,140.0,68.0,95.0,1680.0,681.0,4453.0,272.0,-33.8,606.0,33.8,129.0,1132.0,13.2,5.5,-7.4,432.0,18.0,163.0,309.0,65.0,38.8,24.6,-1.4000000000000001,10.966666666666667,3.266666666666667,-10.966666666666667,7.900000000000001,22.03333333333333,12.299999999999999,-1.8,3.1333333333333333,16.633333333333333,7.933333333333334,-6.3,262.0,257.0,305.0,310.0
8,0.5,13.2,142.0,79.0,107.0,1718.0,729.0,4552.0,274.0,-33.1,621.0,34.1,132.0,1198.0,13.4,5.7,-6.8,452.0,18.3,168.0,331.0,66.0,40.7,25.1,-1.1666666666666667,11.233333333333334,3.6333333333333333,-10.366666666666665,8.533333333333333,22.399999999999995,12.766666666666666,-1.3,3.6333333333333333,16.933333333333334,8.266666666666666,-5.8,276.0,269.0,318.0,332.0
8,0.75,13.9,144.0,92.0,117.0,1748.0,781.0,4645.0,275.0,-32.3,641.0,34.3,135.0,1258.0,13.6,6.0,-6.2,467.0,18.6,172.0,360.0,67.0,42.8,25.6,-0.8333333333333336,11.700000000000001,4.033333333333333,-9.666666666666666,9.0,22.766666666666666,13.133333333333333,-0.7000000000000001,4.066666666666666,17.133333333333333,8.5,-5.3,292.0,280.0,333.0,353.0
8,1.0,15.1,151.0,158.0,197.0,2051.0,987.0,5101.0,284.0,-29.4,724.0,35.8,150.0,1456.0,14.6,7.3,-4.2,533.0,20.0,189.0,497.0,72.0,46.0,27.4,1.0999999999999999,13.433333333333332,5.8,-7.2,11.1,24.76666666666667,14.666666666666666,0.9666666666666668,5.866666666666667,18.7,9.766666666666667,-3.4,362.0,313.0,422.0,410.0
9,0.0,13.7,123.0,45.0,199.0,2088.0,326.0,3284.0,268.0,-35.2,696.0,35.1,128.0,1016.0,12.8,7.1,-7.1,430.0,19.9,156.0,84.0,54.0,35.1,24.6,-1.0333333333333332,11.799999999999999,2.266666666666667,-12.166666666666666,11.366666666666667,23.933333333333334,14.233333333333334,-0.6333333333333333,5.933333333333334,18.666666666666664,8.966666666666667,-5.8,233.0,252.0,247.0,194.0
9,0.25,15.5,129.0,129.0,274.0,2301.0,434.0,3556.0,275.0,-32.3,828.0,37.0,142.0,1115.0,13.8,8.2,-5.3,467.0,21.0,175.0,131.0,59.0,41.9,25.9,0.8666666666666668,13.266666666666666,3.9000000000000004,-9.566666666666668,13.366666666666665,26.100000000000005,16.133333333333336,1.2333333333333334,7.133333333333333,19.733333333333334,10.066666666666668,-4.166666666666667,284.0,281.0,288.0,249.0
9,0.5,16.0,131.0,151.0,306.0,2393.0,479.0,3683.0,278.0,-31.6,846.0,37.5,146.0,1158.0,14.0,8.7,-4.8,489.0,21.4,181.0,149.0,60.0,43.9,26.2,1.3666666666666665,13.733333333333334,4.4,-8.933333333333334,13.833333333333334,26.599999999999998,16.6,1.7333333333333334,7.599999999999999,20.133333333333333,10.466666666666667,-3.6333333333333333,295.0,292.0,303.0,269.0
9,0.75,16.7,133.0,175.0,342.0,2493.0,528.0,3815.0,280.0,-30.7,862.0,37.9,151.0,1202.0,14.2,9.1,-4.2,512.0,21.8,187.0,172.0,62.0,45.9,26.5,1.9000000000000001,14.233333333333334,4.966666666666667,-8.233333333333333,14.333333333333334,27.0,17.0,2.1,8.066666666666666,20.566666666666666,10.9,-3.1,307.0,305.0,315.0,287.0
9,1.0,19.2,141.0,208.0,467.0,2778.0,679.0,4172.0,289.0,-28.4,917.0,39.4,166.0,1381.0,15.4,10.1,-2.7,613.0,23.1,202.0,261.0,70.0,49.8,28.3,3.0,15.533333333333333,7.166666666666667,-6.466666666666666,15.4,28.5,18.099999999999998,3.2999999999999994,9.133333333333335,21.900000000000002,12.0,-1.6666666666666667,368.0,363.0,395.0,320.0
10,0.0,17.8,122.0,93.0,266.0,2263.0,403.0,3443.0,276.0,-33.0,730.0,36.0,143.0,771.0,12.0,7.9,-6.7,373.0,20.8,174.0,63.0,57.0,42.8,25.5,0.7666666666666669,13.066666666666668,4.0,-10.366666666666667,11.566666666666665,25.266666666666666,15.166666666666666,-0.4333333333333333,6.566666666666667,19.566666666666666,10.0,-5.166666666666667,183.0,221.0,212.0,123.0
10,0.25,19.9,127.0,181.0,314.0,2397.0,472.0,3642.0,281.0,-30.6,784.0,37.0,151.0,832.0,13.2,8.5,-5.1,400.0,21.5,187.0,88.0,63.0,48.9,26.2,1.5333333333333332,14.033333333333331,5.166666666666667,-8.533333333333333,12.666666666666666,26.133333333333336,15.766666666666666,0.39999999999999997,7.166666666666667,20.2,10.633333333333333,-4.0,199.0,241.0,232.0,158.0
10,0.5,21.0,128.0,196.0,328.0,2434.0,492.0,3690.0,283.0,-30.0,794.0,37.3,155.0,884.0,13.6,8.7,-4.8,420.0,21.6,191.0,97.0,65.0,51.4,26.3,1.8,14.366666666666665,5.699999999999999,-8.0,12.799999999999999,26.333333333333332,16.000000000000004,0.5666666666666667,7.3,20.366666666666667,10.766666666666667,-3.7000000000000006,209.0,255.0,242.0,172.0
10,0.75,22.5,129.0,212.0,339.0,2465.0,515.0,3735.0,284.0,-29.6,812.0,37.5,157.0,930.0,13.9,8.8,-4.6,440.0,21.8,193.0,112.0,66.0,54.1,26.6,2.0,14.600000000000001,5.966666666666668,-7.566666666666666,13.0,26.53333333333333,16.2,0.7999999999999999,7.466666666666666,20.5,11.0,-3.466666666666667,219.0,269.0,257.0,190.0
10,1.0,24.2,133.0,267.0,396.0,2613.0,611.0,3922.0,291.0,-27.9,911.0,39.0,169.0,1068.0,14.7,9.5,-3.8,502.0,22.4,205.0,150.0,70.0,58.4,28.4,2.9666666666666663,15.766666666666666,7.466666666666666,-6.333333333333333,15.433333333333335,28.133333333333336,17.633333333333333,2.3666666666666667,8.633333333333333,21.166666666666668,11.866666666666667,-2.6333333333333333,278.0,299.0,333.0,229.0
11,0.0,12.8,126.0,33.0,134.0,1859.0,485.0,3710.0,268.0,-36.0,607.0,34.1,127.0,890.0,8.7,5.8,-8.8,412.0,18.8,157.0,122.0,55.0,34.3,24.2,-1.2000000000000002,10.733333333333334,2.2333333333333334,-13.066666666666668,9.466666666666667,22.8,12.633333333333333,-2.733333333333333,4.5,17.633333333333333,7.933333333333334,-7.6000000000000005,209.0,235.0,233.0,161.0
11,0.25,14.9,135.0,115.0,184.0,2034.0,621.0,4064.0,272.0,-34.2,725.0,35.9,134.0,1026.0,13.1,6.8,-7.2,457.0,19.7,166.0,175.0,59.0,40.1,26.3,-0.36666666666666653,12.1,3.1666666666666665,-11.299999999999999,11.466666666666667,24.733333333333334,14.399999999999999,-0.9,5.666666666666667,18.466666666666665,8.933333333333334,-6.033333333333334,245.0,273.0,275.0,205.0
11,0.5,15.8,136.0,131.0,203.0,2082.0,661.0,4150.0,274.0,-33.4,754.0,36.4,138.0,1083.0,13.4,7.1,-6.7,480.0,20.0,170.0,203.0,61.0,41.8,26.7,-0.06666666666666672,12.466666666666667,3.5000000000000004,-10.666666666666666,12.066666666666668,25.2,14.833333333333334,-0.43333333333333335,6.033333333333332,18.766666666666666,9.166666666666666,-5.533333333333334,264.0,293.0,289.0,237.0
