cluster15,AHM,bFFP,CMD,DD18,DD5,DD_0,DD_18,eFFP,EMT,Eref,EXT,FFP,MAP,MAR,MAT,MCMT,MSP,MWMT,NFFD,PAS,RH,SHM,TD,Tmin_sp,Tmin_su,Tmin_fa,Tmin_wi,Tmax_sp,Tmax_su,Tmax_fa,Tmax_wi,Tave_sp,Tave_su,Tave_fa,Tave_wi,PPT_sp,PPT_su,PPT_fa,PPT_wi
0,1.0549712475454638,2.3912483667261952,28.325343130074664,16.222442309890138,90.55165663975956,82.6776103229784,168.06651678774915,2.092204033683606,0.710814224835681,26.547273386740358,0.617124138076536,4.368947979772784,74.89049188438123,0.269715991850923,0.5004391858060636,0.6910818437491402,35.098859118175085,0.5058541175570588,5.758862836076487,45.66590484620876,2.0558993320452705,2.9513266717950106,0.66570205075311,0.5774407387216207,0.5270214963013984,0.4632199703061197,0.7521628152300132,0.7783919102260936,0.6397286690223306,0.7246605333392556,0.7171595378204263,0.5727013470621892,0.5133736189881501,0.5052651521621102,0.626923798458888,20.513521786100977,24.398043353119697,18.25313086953753,25.03961476342837
1,1.0071346196167834,2.1642863242520143,34.75751049029899,22.97440598091997,75.1865965846038,88.06525637457575,159.53084079809042,2.444404888985569,1.291585695956606,24.69022322035148,0.7040242878939699,4.469012430582108,78.80557119909876,0.6540735416763231,0.4729344918802064,0.9218937984303828,35.283825933483826,0.44869481717667253,5.498359602821517,42.741265906095144,2.155786899291611,3.225185690514038,1.0678420195135263,0.5781563009670097,0.49210054119237284,0.5680212698162412,1.2302573608821878,0.5941476425880762,0.5975070407503911,0.5374605182762686,0.7066646500494745,0.49086849560494916,0.413102955388497,0.43103609133811266,0.8823429706530905,24.666287574220398,25.671537372817912,22.813791687073792,34.89763386579887
2,1.5635566983419418,2.4360018968345964,29.474721593297495,35.29818050779181,108.43786583764401,140.5893643773253,248.72710405095918,2.4977085072537544,1.872863357561347,50.63479006104922,0.5746134631807926,4.824113764001152,62.10302156529685,0.5361393035451789,0.7414954556034341,1.6395824113679152,22.339817707060206,0.5183386460249558,6.121041376102819,44.471824897266664,1.7880298578859497,2.827354825402462,1.7205326603873687,0.6338704900482771,0.6250341251619547,0.6113928678726219,1.6901935551857175,0.8041635301623243,0.5858329482265282,0.9440630608813131,1.311014075142789,0.6559069193434532,0.48650776891440023,0.6903344757896926,1.469538440449594,19.891418252154924,15.44061000705728,19.41097244305868,24.61790737619429
3,1.1419073350829225,2.876993126781106,20.853969177917705,10.26437520804433,110.01344345646034,148.15700577279472,266.384228013097,3.535839387050192,1.4549134772562657,52.692472677185634,1.0012039326173416,6.313746143661796,69.5116725602136,0.3005700899235734,0.7555288127325893,1.1324204257641,29.00400098065304,0.6326798448953213,6.126291044387522,56.44174585991737,3.3713497899171276,2.8241340945781483,0.9451628996865084,0.7925178926697706,0.755955978285978,0.8871591045927459,1.4049645004936346,1.1072071809920891,1.0763279876481024,0.9371529665318098,0.927822258711718,0.771580421010967,0.6572611078167969,0.8293516730391665,1.103388792116056,21.636480291983087,18.584839808457723,18.934662273571707,19.81402292486452
4,0.7174644471257671,1.509431077594027,19.33311182735824,14.645155608391805,70.54165744407508,85.02587909769348,151.33828999712378,2.301068348560911,1.0519925305136004,41.12992802354291,0.6071029261164604,3.583678062572874,52.5927062594673,0.23505408723993793,0.4401048706414,0.8653540733026026,19.16742989986478,0.31847416576488424,5.173311339726278,44.670828764978836,3.019595784981166,1.7823675946564626,0.9156004538958886,0.4959236731770594,0.3534150824966363,0.6007827229504545,1.0542880897610545,1.0798401202925212,0.6995613034601857,0.6844395904932645,0.771491277650561,0.6153883424098613,0.33011399658328283,0.43183043509444313,0.7901672814929458,16.137175147760964,12.779322861134396,14.276225517724221,37.57775642976162
5,1.2862534008642317,3.144880106178736,29.676787180756982,23.302437773574024,105.61822095795603,83.5012897572006,182.07045195453077,2.773582862545086,1.0271163935388483,26.831386613504947,0.6775157811696286,5.729700023671641,122.7415456653976,0.5627972678418024,0.5577610609724886,0.7106393282330993,40.457867791251296,0.5925709879509587,7.190321632368805,57.22955047803021,2.2269508575362016,2.674536687620861,0.7095132646093638,0.7701291098952449,0.6988578570855682,0.6555462401434515,0.9742846539637013,0.672282163127223,0.6791335852421817,0.605359587711961,0.6052095304498839,0.5983267950286224,0.5766612470666052,0.5467119142734385,0.7041502708887096,35.75929869706586,24.27457044537559,35.4626395734874,42.83619679885367
6,0.7455464227022188,4.061390022039621,15.943686693886864,17.332338541195586,121.00835624426539,88.48482096271015,220.9214964774532,2.8446815779920387,1.093638001101223,35.536480521408805,0.8127780336175173,6.597369655289617,57.135676354181804,0.3041354052978541,0.6403373738369895,0.822620673872126,20.38736657785237,0.6147005746414702,11.052315904850348,65.27325244643873,1.9882758337867614,1.959679376278092,1.0163112744715872,0.8674816320828503,0.504459003416622,0.5695662656970275,0.8937870250803808,1.247011153833383,0.9027556714387998,0.8413312956230619,0.819053848616646,1.0224160527258188,0.6457077753823232,0.6477820181104369,0.7778700328480869,16.646518666543216,13.85413438373092,18.450554799206138,17.21194917034374
7,0.8245694698583688,4.54815591418691,22.755834169938357,76.65659044475349,181.54892103918596,49.896521935456384,177.21356244451215,5.023885623593504,1.5050064685665685,44.270511929408485,1.0100286019032159,9.375191982827955,34.29493696429715,0.3796907923117797,0.6829519460253151,0.8393030369530613,33.45211630886632,0.7870676194122437,12.9479788189931,24.7150473397864,2.982753862294873,2.4252640631130262,1.0220324708923543,0.832356449044608,0.9085643870174038,1.0699574928441988,1.1800038170460956,1.0482616427128004,1.0475189693867963,0.5738448857847142,0.4976069349288251,0.7806915213028222,0.8272086990282458,0.7170112446377821,0.8192986624580532,12.758814006621618,18.736157665066404,11.126299787844228,19.519948425139606
8,0.8435314126535042,2.692150311564253,18.49645460536927,17.491621066639407,84.20586103215659,79.72252645068635,169.75554210516304,3.0033327264621175,1.1412165642837464,30.25235311128605,0.46991097732615217,5.433252446897042,70.64098699008714,0.31134047269077075,0.4970147101752503,0.8596585707092567,20.235552128873877,0.43361234766520906,8.076580284560555,46.62906631535042,2.1919002191996824,2.4799445101635267,0.8648176119149882,0.5915456507422334,0.5745583815328453,0.6530684140678258,0.9493402693508969,0.8717204871772105,0.5609483548701745,0.6066622904239232,0.7391777640484842,0.6698784062256332,0.41358242391783906,0.5295218230860318,0.7680598048785396,20.89443600533238,13.564556951115192,20.560734205123115,26.259502633885592
9,0.8875950854536582,2.9784342058783424,31.739350053823763,45.47454338886056,127.14875524142654,62.17247911131693,168.46774052427995,3.187167898557214,1.0859654259339793,28.824459123690776,0.6622470771964017,6.064441042284269,53.969783185094165,0.29163002452581677,0.5820173018118683,0.7330212895822238,31.53631299644438,0.5506538084805269,8.093749912032289,29.451604324009192,2.0919140826672757,2.938484983981338,0.4880465600301986,0.6952760374494011,0.6508045740589741,0.7109567371920549,0.9247350506166793,0.6755853427264453,0.668884600991222,0.6165395927659424,0.6563780622343712,0.6182937820051421,0.5542615288831773,0.5426922508737576,0.710064919977203,16.71294910899556,18.345653111892933,19.876833052089207,24.063241318475974
