cluster,,AHM,bFFP,CMD,DD18,DD5,DD_0,DD_18,eFFP,EMT,Eref,EXT,FFP,MAP,MAR,MAT,MCMT,MSP,MWMT,NFFD,PAS,RH,SHM,TD,Tmin_sp,Tmin_su,Tmin_fa,Tmin_wi,Tmax_sp,Tmax_su,Tmax_fa,Tmax_wi,Tave_sp,Tave_su,Tave_fa,Tave_wi,PPT_sp,PPT_su,PPT_fa,PPT_wi
0,0.0,11.2,108.0,0.0,74.0,1613.0,196.0,2754.0,262.0,-37.8,586.0,32.9,115.0,760.0,8.7,4.7,-11.5,373.0,17.4,144.0,31.0,53.0,28.9,20.3,-2.6,9.6,0.6333333333333332,-14.933333333333332,9.433333333333332,21.733333333333334,11.700000000000001,-4.566666666666666,3.8000000000000003,16.2,6.7,-9.733333333333333,173.0,219.0,204.0,123.0
0,0.25,15.1,131.0,118.0,181.0,2007.0,519.0,3775.0,272.0,-35.0,729.0,36.1,133.0,971.0,13.3,6.5,-8.0,445.0,19.7,164.0,136.0,59.0,40.8,26.1,-0.5666666666666664,11.9,2.9666666666666663,-12.166666666666666,11.5,24.933333333333334,14.166666666666666,-1.2333333333333334,5.533333333333334,18.433333333333334,8.6,-6.7,231.0,268.0,260.0,191.0
0,0.5,16.3,135.0,142.0,227.0,2134.0,649.0,4122.0,275.0,-33.3,764.0,36.7,140.0,1075.0,13.7,7.2,-6.6,468.0,20.4,172.0,180.0,61.0,43.7,26.6,0.16666666666666666,12.833333333333334,3.633333333333334,-10.533333333333333,12.233333333333334,25.5,14.966666666666669,-0.3,6.166666666666667,19.133333333333333,9.266666666666667,-5.433333333333333,263.0,285.0,286.0,232.0
0,0.75,17.9,139.0,166.0,297.0,2358.0,771.0,4348.0,279.0,-31.6,815.0,37.3,147.0,1160.0,14.1,8.4,-5.2,495.0,21.3,183.0,236.0,63.0,46.7,28.0,1.2333333333333332,13.700000000000001,4.633333333333333,-9.1,13.066666666666665,26.23333333333333,16.0,0.7999999999999999,7.2,20.0,10.333333333333334,-4.066666666666666,293.0,301.0,305.0,272.0
0,1.0,24.2,147.0,270.0,612.0,3169.0,1085.0,4909.0,302.0,-24.1,917.0,39.4,194.0,1478.0,16.3,12.1,-0.2,625.0,24.2,245.0,393.0,76.0,58.4,31.7,5.833333333333333,18.46666666666667,9.833333333333334,-3.0,16.066666666666666,28.599999999999998,18.73333333333333,4.4,10.533333333333333,23.099999999999998,14.133333333333333,0.6333333333333334,368.0,381.0,430.0,399.0
1,0.0,3.1,133.0,0.0,3.0,505.0,644.0,4083.0,240.0,-46.0,348.0,25.7,65.0,866.0,10.8,-2.6,-17.5,386.0,10.4,91.0,184.0,52.0,9.9,24.6,-10.333333333333334,4.8,-4.733333333333333,-23.066666666666666,-0.36666666666666653,13.1,2.8333333333333335,-11.633333333333335,-4.5,9.299999999999999,-0.6,-16.066666666666666,189.0,233.0,222.0,163.0
1,0.25,11.8,145.0,42.0,61.0,1420.0,1024.0,4916.0,260.0,-39.9,596.0,34.2,109.0,1022.0,13.1,2.9,-12.8,462.0,17.2,135.0,322.0,58.0,34.0,28.4,-4.233333333333333,9.666666666666666,0.09999999999999994,-16.833333333333332,7.333333333333333,22.03333333333333,10.033333333333333,-5.766666666666667,1.6000000000000003,15.833333333333334,5.133333333333334,-11.266666666666666,225.0,284.0,275.0,216.0
1,0.5,13.0,148.0,71.0,86.0,1564.0,1188.0,5253.0,263.0,-38.5,635.0,35.0,115.0,1079.0,13.3,3.7,-11.6,482.0,18.0,143.0,363.0,60.0,36.8,29.5,-3.3000000000000003,10.233333333333334,0.7666666666666669,-15.433333333333332,8.533333333333333,23.03333333333333,11.199999999999998,-4.733333333333333,2.5,16.666666666666668,5.966666666666668,-10.1,242.0,299.0,286.0,239.0
1,0.75,13.7,151.0,101.0,116.0,1715.0,1339.0,5544.0,266.0,-37.5,675.0,35.6,121.0,1128.0,13.5,4.8,-10.1,517.0,18.7,151.0,408.0,62.0,39.8,30.4,-2.3333333333333335,10.966666666666667,1.5,-14.466666666666667,9.700000000000001,23.7,12.333333333333334,-3.1333333333333333,3.6333333333333333,17.333333333333332,6.933333333333333,-8.833333333333334,261.0,323.0,300.0,268.0
1,1.0,17.8,174.0,183.0,246.0,2147.0,2263.0,7486.0,276.0,-33.5,841.0,37.2,144.0,2611.0,17.8,7.3,-6.7,1049.0,20.8,176.0,1639.0,71.0,45.7,32.4,0.20000000000000018,13.666666666666666,3.766666666666666,-10.766666666666666,13.0,25.96666666666667,15.633333333333335,0.26666666666666666,6.5,19.46666666666667,9.166666666666668,-5.433333333333334,637.0,644.0,699.0,632.0
